diversity_measure,min,max
beta_total_pre1990_v_1990s,0,1
beta_total_pre1990_v_2000-2004,0,1
beta_total_pre1990_v_2005-2009,0.25,1
beta_total_pre1990_v_2012-2014,0,1
beta_total_pre1990_v_post2015,0,1
beta_total_1990s_v_2000-2004,0,1
beta_total_1990s_v_2005-2009,0,1
beta_total_1990s_v_2012-2014,0,1
beta_total_1990s_v_post2015,0.16666667163372,1
beta_total_2000-2004_v_2005-2009,0.20000000298023,1
beta_total_2000-2004_v_2012-2014,0,1
beta_total_2000-2004_v_post2015,0.125,1
beta_total_2005-2009_v_2012-2014,0,1
beta_total_2005-2009_v_post2015,0,1
beta_total_2012-2014_v_post2015,0,1
beta_repl_pre1990_v_1990s,0,1
beta_repl_pre1990_v_2000-2004,0,1
beta_repl_pre1990_v_2005-2009,0,1
beta_repl_pre1990_v_2012-2014,0,1
beta_repl_pre1990_v_post2015,0,0.90909093618393
beta_repl_1990s_v_2000-2004,0,0.9230769276619
beta_repl_1990s_v_2005-2009,0,0.86440676450729
beta_repl_1990s_v_2012-2014,0,0.8148148059845
beta_repl_1990s_v_post2015,0,0.93617022037506
beta_repl_2000-2004_v_2005-2009,0,1
beta_repl_2000-2004_v_2012-2014,0,0.87999999523163
beta_repl_2000-2004_v_post2015,0,0.89315068721771
beta_repl_2005-2009_v_2012-2014,0,0.84705883264542
beta_repl_2005-2009_v_post2015,0,0.92832762002945
beta_repl_2012-2014_v_post2015,0,0.88392859697342
beta_rich_pre1990_v_1990s,0,0.99689441919327
beta_rich_pre1990_v_2000-2004,0,0.98879551887512
beta_rich_pre1990_v_2005-2009,0,0.98798799514771
beta_rich_pre1990_v_2012-2014,0,0.99208444356918
beta_rich_pre1990_v_post2015,0,0.98850572109222
beta_rich_1990s_v_2000-2004,0,0.99715101718903
beta_rich_1990s_v_2005-2009,0,0.99806952476501
beta_rich_1990s_v_2012-2014,0,0.9976851940155
beta_rich_1990s_v_post2015,0,0.99159663915634
beta_rich_2000-2004_v_2005-2009,0,0.99465239048004
beta_rich_2000-2004_v_2012-2014,0,0.99599999189377
